Table 1
SNIa Color Excesses and Reddening Laws

	Spec.					CCM+O	F99	
SN	Class.	HV?	s_BV	E(B - V)_MW	E(B - V)_HOST	R_V, U	R_V, B	R_V, M	R_V, U	R_V, B	R_V, M	
2004ef	BL	yes	0.815(0.003)	0.046(0.001)	0.158(0.024)							
2004eo	CL	no	0.816(0.005)	0.093(0.001)	0.128(0.024)	<1.4						
2004ey	N	no	1.008(0.002)	0.119(0.014)	0.019(0.020)	 ... 			 ... 			
2004gc	 ... 	no	0.921(0.023)	0.178(0.004)	0.242(0.052)	 ... 			 ... 			
2004gs	CL	yes	0.693(0.004)	0.026(0.001)	0.148(0.024)							
2004gu	SS	no	1.244(0.010)	0.022(0.001)	0.096(0.034)	 ... 			 ... 			
2005A	BL	yes	0.964(0.010)	0.026(0.001)	1.129(0.029)							
2005M	SS	no	1.206(0.003)	0.027(0.002)	0.060(0.021)	 ... 			 ... 			
2005W	BL	no	0.923(0.009)	0.061(0.001)	0.233(0.025)	 ... 			 ... 			
2005ag	BL	no	1.083(0.008)	0.033(0.001)	0.072(0.021)	 ... 			 ... 			
2005al	 ... 	no	0.864(0.003)	0.048(0.002)	0.022(0.013)	 ... 			 ... 			
2005am	BL	yes	0.732(0.003)	0.043(0.002)	0.053(0.017)	 ... 			 ... 			
2005be	 ... 	no	0.754(0.018)	0.029(0.001)	<0.039	 ... 			 ... 			
2005bg	SS	no	1.002(0.027)	0.026(0.001)	0.078(0.035)	 ... 			 ... 			
2005bl	CL	no	0.394(0.013)	0.025(0.001)	0.257(0.050)	 ... 			 ... 			
2005bo	N	no	0.846(0.008)	0.040(0.001)	0.327(0.026)							
2005el	N	no	0.834(0.003)	0.098(0.001)	0.015(0.012)	 ... 			 ... 			
2005eq	SS	no	1.241(0.008)	0.063(0.003)	0.044(0.024)	 ... 			 ... 			
2005hc	N	no	1.191(0.006)	0.028(0.001)	0.049(0.019)	 ... 			 ... 			
2005hj	 ... 	no	1.268(0.015)	0.033(0.001)	0.066(0.024)	 ... 			 ... 			
2005iq	 ... 	no	0.871(0.004)	0.019(0.001)	0.040(0.015)	 ... 			 ... 			
2005ir	 ... 	 ... 	1.120(0.021)	0.026(0.001)	0.075(0.025)	 ... 			 ... 			
2005kc	N	no	0.898(0.006)	0.114(0.002)	0.310(0.026)							
2005ke	CL	no	0.419(0.003)	0.020(0.002)	0.263(0.033)							
2005ki	N	no	0.824(0.003)	0.027(0.001)	0.016(0.013)	 ... 			 ... 			
2005ku	N	yes	1.189(0.044)	0.046(0.001)	0.124(0.048)	 ... 			 ... 			
2005lu	 ... 	no	1.128(0.033)	0.022(0.001)	0.247(0.047)	 ... 			 ... 			
2005mc	 ... 	 ... 	0.642(0.024)	0.038(0.001)	0.212(0.047)	 ... 			 ... 			
2005na	N	no	0.958(0.007)	0.068(0.003)	0.061(0.022)	 ... 			 ... 			
2006D	N	yes	0.811(0.003)	0.039(0.001)	0.134(0.025)							
2006X	BL	yes	0.970(0.006)	0.023(0.001)	1.360(0.026)							
2006ax	N	no	0.985(0.004)	0.041(0.002)	0.016(0.015)	 ... 		<2.0	 ... 			
2006bd	CL	no	0.322(0.021)	0.023(0.001)	0.049(0.055)	 ... 			 ... 			
2006bh	 ... 	no	0.800(0.003)	0.023(0.001)	0.037(0.013)	 ... 			 ... 			
2006br	BL	yes	0.908(0.029)	0.020(0.001)	0.896(0.050)							
2006ef	BL	yes	0.836(0.020)	0.020(0.001)	0.035(0.032)	 ... 			 ... 			
2006ej	BL	yes	0.820(0.019)	0.030(0.001)	0.059(0.030)	 ... 			 ... 			
2006eq	CL	no	0.621(0.025)	0.042(0.001)	0.110(0.045)	 ... 			 ... 			
2006et	N	no	1.102(0.009)	0.017(0.001)	0.254(0.025)							
2006ev	 ... 	no	0.839(0.019)	0.076(0.002)	0.199(0.045)				 ... 			
2006fw	N	no	0.895(0.046)	0.028(0.001)	0.262(0.041)	 ... 			 ... 			
2006gj	CL	no	0.658(0.007)	0.070(0.002)	0.246(0.025)							
2006gt	CL	no	0.559(0.007)	0.032(0.001)	0.040(0.016)	 ... 			 ... 			
2006hb	 ... 	no	0.661(0.004)	0.024(0.001)	0.029(0.018)	 ... 			 ... 			
2006hx	SS	no	0.897(0.022)	0.026(0.001)	0.210(0.046)	 ... 						
2006is	N	yes	1.140(0.032)	0.029(0.001)	<0.024	 ... 			 ... 			
2006kf	CL	no	0.733(0.004)	0.210(0.002)	0.032(0.011)	 ... 			 ... 			
