# this file was generated between Tue May 17 18:22:16 2016 and Tue May 17 18:24:07 2016 UTC 
# based on the CSP website http://csp.obs.carnegiescience.edu/data/lowzSNe/ during that time.
# the t0 values are mjd dates of B-band maximum 
# taken from SNooPy dm15 fits.
# data was unsuccessfully requested for the following sne:
# SN2009dc
# SN2006bt
# SN2007if
name t0
SN2004dt 53235.04
SN2004ef 53263.945
SN2004eo 53278.121
SN2004ey 53303.965
SN2004gc 53323.99
SN2004gs 53356.039
SN2004gu 53362.35
SN2005A 53379.27
SN2005M 53405.316
SN2005W 53411.844
SN2005ag 53414.0
SN2005al 53429.145
SN2005am 53436.605
SN2005be 53455.39
SN2005bg 53469.89
SN2005bl 53482.797
SN2005bo 53478.59
SN2005el 53646.531
SN2005eq 53654.27
SN2005hc 53667.027
SN2005hj 53674.13
SN2005iq 53687.297
SN2005ir 53684.68
SN2005kc 53697.387
SN2005ke 53699.52
SN2005ki 53705.145
SN2005ku 53698.36
SN2005lu 53711.33
SN2005mc 53733.91
SN2005na 53739.941
SN2006D 53757.324
SN2006X 53786.105
SN2006ax 53826.879
SN2006bd 53823.91
SN2006bh 53833.305
SN2006br 53850.01
SN2006ef 53967.14
SN2006ej 53976.18
SN2006eq 53977.5
SN2006et 53993.605
SN2006ev 53989.73
SN2006fw 54002.74
SN2006gj 54000.062
SN2006gt 54003.219
SN2006hb 54001.95
SN2006hx 54021.52
SN2006is 54008.39
SN2006kf 54041.02
SN2006lu 54034.4
SN2006mr 54050.801
SN2006ob 54063.105
SN2006os 54062.89
SN2006ot 54064.26
SN2006py 54070.45
SN2007A 54112.809
SN2007N 54123.8
SN2007S 54143.836
SN2007af 54174.031
SN2007ai 54173.13281
SN2007as 54181.016
SN2007ax 54188.074
SN2007ba 54197.27
SN2007bc 54199.961
SN2007bd 54206.527
SN2007bm 54223.98
SN2007ca 54227.105
SN2007hx 54355.14
SN2007jg 54365.81
SN2007jh 54365.99
SN2007le 54398.887
SN2007mm 54393.06
SN2007nq 54398.562
SN2007on 54419.875
SN2008C 54465.6
SN2008R 54494.31
SN2008bc 54549.445
SN2008bq 54562.906
SN2008fp 54730.258
SN2008gp 54778.773
SN2008hv 54816.789
SN2008ia 54812.859
SN2009F 54842.211
