SN 2004ef 0.0310 0.0298  0.056 1.36 .01 35.46 .03 Yes
SN 2004eo 0.0157 0.0147  0.108 1.37 .03 33.92 .05 Yes
SN 2004ey 0.0158 0.0146  0.139 0.98 .02 34.06 .05 Yes
SN 2004gc 0.0321 0.0307a 0.206 1.09 .06 35.34 .04 No
SN 2004gs 0.0267 0.0275  0.031 1.54 .01 35.51 .03 Yes
SN 2004gu 0.0459 0.0469  0.026 0.80 .04 36.41 .10 Yes
SN 2005A  0.0191 0.0184  0.030 1.17 .03 34.46 .06 Yes
SN 2005M  0.0220 0.0230  0.031 0.85 .01 35.13 .03 Yes
SN 2005W  0.0089 0.0080  0.072 1.16 .03 ---       Yes
SN 2005ag 0.0794 0.0801  0.041 0.86 .01 37.62 .08 Yes
SN 2005al 0.0124 0.0133  0.055 1.22 .04 34.01 .06 Yes
SN 2005am 0.0079 0.0090  0.054 1.48 .02 ---       Yes
SN 2005be 0.0350 0.0356  0.034 1.47 .08 35.85 .05 No
SN 2005bg 0.0231 0.0242  0.032 1.02 .08 35.08 .06 No
SN 2005bl 0.0241 0.0251  0.029 1.80 .04 ---       Yes
SN 2005bo 0.0139 0.0150  0.046 1.30 .08 33.85 .06 Yes
SN 2005el 0.0149 0.0149  0.114 1.29 .01 33.92 .05 Yes
SN 2005eq 0.0290 0.0284  0.074 0.72 .02 35.44 .03 Yes
SN 2005hc 0.0459 0.0450  0.029 0.90 .01 36.51 .05 Yes
SN 2005iq 0.0340 0.0330  0.022 1.24 .01 35.80 .04 Yes
SN 2005ir 0.0764 0.0753  0.030 0.93 .11 37.59 .06 Yes
SN 2005kc 0.0151 0.0139  0.132 1.14 .01 33.94 .05 Yes
SN 2005ke 0.0049 0.0045  0.027 1.76 .01 ---       Yes
SN 2005ki 0.0192 0.0204  0.032 1.27 .02 34.57 .04 Yes
SN 2005lu 0.0320 0.0313  0.026 0.88 .03 35.98 .04 No
SN 2005na 0.0263 0.0268  0.077 0.95 .02 35.24 .05 Yes
SN 2006D  0.0085 0.0097  0.046 1.42 .01 ---       Yes
SN 2006X  0.0052 0.0063  0.026 1.09 .01 31.05 .05 Yes
SN 2006ax 0.0167 0.0180  0.050 0.99 .02 34.30 .04 Yes
SN 2006bh 0.0109 0.0105  0.026 1.41 .01 33.25 .07 Yes
SN 2006eq 0.0495 0.0484  0.048 1.66 .06 36.54 .02 No
SN 2006gt 0.0448 0.0437  0.037 1.66 .03 36.49 .02 Yes
SN 2006mr 0.0059 0.0055  0.021 1.82 .02 ---       Yes
SN 2006py 0.0579 0.0567  0.065 1.02 .03 36.88 .02 Yes
