#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-08-29T22:34:40 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ57c4b45127c9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-nav=cat:J/AJ/139/120&tab:{J/AJ/139/120/table1}&key:source=J/AJ/139/120/table2&HTTPPRM:&&-ref=VIZ57c4b45127c9&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=SN&-out=f_SN&-out=Band&-out=Tmax&-out=e_Tmax&-out=mmax&-out=e_mmax&-out=Dm&-out=e_Dm&-out=Epmin&-out=Epmax&-out=Np&-out=Fit&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/139/120/table2&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source= J/AJ/139/120/table1
#-order=I
#-out=SN
#-out=f_SN
#-out=Band
#-out=Tmax
#-out=e_Tmax
#-out=mmax
#-out=e_mmax
#-out=Dm
#-out=e_Dm
#-out=Epmin
#-out=Epmax
#-out=Np
#-out=Fit
#-out.src=J/AJ/139/120/table2
#

#RESOURCE=yCat_51390120
#Name: J/AJ/139/120
#Title: Low-redshift Type-Ia supernovae (Folatelli+, 2010)
#Table	J_AJ_139_120_table1:
#Name: J/AJ/139/120/table1
#Title: Observational properties of the SNe Ia used in the analysis
#Column	SN	(A6)	SN name \linkRole{light-curve parameters }	[ucd=meta.id;meta.main]
#Column	zh	(F7.4)	Heliocentric redshift from the NASA/IPAC Extragalactic Database (NED)	[ucd=src.redshift]
#Column	zCMB	(F7.4)	Redshift in the frame of the 3K CMB (NED)	[ucd=src.redshift]
#Column	n_zCMB	(A1)	[a] Note on zCMB (1)	[ucd=meta.note]
#Column	E(B-V)	(F6.3)	Galactic reddening (NED)	[ucd=phot.color.excess]
#Column	Dm15(B)	(F5.2)	Observed decline rate {Delta}m_15_(B)	[ucd=src.var.amplitude]
#Column	e_Dm15(B)	(F5.2)	rms uncertainty on Dm15(B)	[ucd=stat.error]
#Column	<mu>	(F5.2)	? Average distance modulus from fits of Section 4.2	[ucd=phot.mag.distMod]
#Column	e_<mu>	(F5.2)	? rms uncertainty on <mu>	[ucd=stat.error]
#Column	Best	(A3)	[Yes/No ] Does the SN belong to the "best-observed" sample?	[ucd=meta.code]
#Column	Simbad	(a6)	ask the {\bf\fg{FireBrick}Simbad} data-base about this object	[ucd=meta.ref]
#Column	NED	(A3)	ask the {\bf\fg{FireBrick}NED} data-base about this object	[ucd=meta.ref]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
SN	zh	zCMB	n_zCMB	E(B-V)	Dm15(B)	e_Dm15(B)	<mu>	e_<mu>	Best	Simbad	NED	_RA	_DE
 	 	 	 	mag	mag	mag	mag	mag	 	 	 	deg	deg
------	-------	-------	-	------	-----	-----	-----	-----	---	------	---	---------	---------
2004ef	 0.0310	 0.0298	 	 0.056	 1.36	 0.01	35.46	 0.03	Yes	Simbad	NED	340.54175	+19.99456
2004eo	 0.0157	 0.0147	 	 0.108	 1.37	 0.03	33.92	 0.05	Yes	Simbad	NED	308.22579	+09.92853
2004ey	 0.0158	 0.0146	 	 0.139	 0.98	 0.02	34.06	 0.05	Yes	Simbad	NED	327.28254	+00.44422
2004gc	 0.0321	 0.0307	a	 0.206	 1.09	 0.06	35.34	 0.04	No 	Simbad	NED	080.45812	+06.67603
2004gs	 0.0267	 0.0275	 	 0.031	 1.54	 0.01	35.51	 0.03	Yes	Simbad	NED	129.59658	+17.62772
2004gu	 0.0459	 0.0469	 	 0.026	 0.80	 0.04	36.41	 0.10	Yes	Simbad	NED	191.60300	+11.94892
2005A 	 0.0191	 0.0184	 	 0.030	 1.17	 0.03	34.46	 0.06	Yes	Simbad	NED	037.68021	-02.93883
2005M 	 0.0220	 0.0230	 	 0.031	 0.85	 0.01	35.13	 0.03	Yes	Simbad	NED	144.38483	+23.20075
2005W 	 0.0089	 0.0080	 	 0.072	 1.16	 0.03	     	     	Yes	Simbad	NED	027.69062	+21.75989
2005ag	 0.0794	 0.0801	 	 0.041	 0.86	 0.01	37.62	 0.08	Yes	Simbad	NED	224.18187	+09.32847
2005al	 0.0124	 0.0133	 	 0.055	 1.22	 0.04	34.01	 0.06	Yes	Simbad	NED	207.50137	-30.57617
2005am	 0.0079	 0.0090	 	 0.054	 1.48	 0.02	     	     	Yes	Simbad	NED	139.05196	-16.30444
2005be	 0.0350	 0.0356	 	 0.034	 1.47	 0.08	35.85	 0.05	No 	Simbad	NED	224.88633	+16.66989
2005bg	 0.0231	 0.0242	 	 0.032	 1.02	 0.08	35.08	 0.06	No 	Simbad	NED	184.32179	+16.37150
2005bl	 0.0241	 0.0251	 	 0.029	 1.80	 0.04	     	     	Yes	Simbad	NED	181.05108	+20.40689
2005bo	 0.0139	 0.0150	 	 0.046	 1.30	 0.08	33.85	 0.06	Yes	Simbad	NED	192.42096	-11.09650
2005el	 0.0149	 0.0149	 	 0.114	 1.29	 0.01	33.92	 0.05	Yes	Simbad	NED	077.95300	+05.19428
2005eq	 0.0290	 0.0284	 	 0.074	 0.72	 0.02	35.44	 0.03	Yes	Simbad	NED	047.20546	-07.03325
2005hc	 0.0459	 0.0450	 	 0.029	 0.90	 0.01	36.51	 0.05	Yes	Simbad	NED	029.19975	-00.21364
2005iq	 0.0340	 0.0330	 	 0.022	 1.24	 0.01	35.80	 0.04	Yes	Simbad	NED	359.63542	-18.70917
2005ir	 0.0764	 0.0753	 	 0.030	 0.93	 0.11	37.59	 0.06	Yes	Simbad	NED	019.18250	+00.79464
2005kc	 0.0151	 0.0139	 	 0.132	 1.14	 0.01	33.94	 0.05	Yes	Simbad	NED	338.53058	+05.56842
2005ke	 0.0049	 0.0045	 	 0.027	 1.76	 0.01	     	     	Yes	Simbad	NED	053.76812	-24.94411
