#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-08-29T22:59:07 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ57c4b45127c9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-nav=cat:J/AJ/139/120&tab:{J/AJ/139/120/table2}&key:source=J/AJ/139/120/table2&HTTPPRM:&&-ref=VIZ57c4b45127c9&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=SN&-out=f_SN&-out=Band&-out=Tmax&-out=e_Tmax&-out=mmax&-out=e_mmax&-out=Dm&-out=e_Dm&-out=Epmin&-out=Epmax&-out=Np&-out=Fit&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/139/120/table2&
#-source= J/AJ/139/120/table2
#-order=I
#-out=SN
#-out=f_SN
#-out=Band
#-out=Tmax
#-out=e_Tmax
#-out=mmax
#-out=e_mmax
#-out=Dm
#-out=e_Dm
#-out=Epmin
#-out=Epmax
#-out=Np
#-out=Fit
#-out.src=J/AJ/139/120/table2
#

#RESOURCE=yCat_51390120
#Name: J/AJ/139/120
#Title: Low-redshift Type-Ia supernovae (Folatelli+, 2010)
#Table	J_AJ_139_120_table2:
#Name: J/AJ/139/120/table2
#Title: Light-curve parameters
#Column	SN	(A6)	SN name \linkRole{observational properties }	[ucd=meta.id;meta.main]
#Column	f_SN	(A1)	[B] Indicates part of "best-observed" group	[ucd=meta.code]
#Column	Band	(A1)	Filter name	[ucd=instr.bandpass]
#Column	Tmax	(F7.2)	Julian Date of maximum; minus 2453000	[ucd=time.epoch;stat.max]
#Column	e_Tmax	(F5.2)	Uncertainty in Tmax	[ucd=stat.error]
#Column	mmax	(F6.3)	Apparent peak magnitude; K-corrected	[ucd=phot.mag]
#Column	e_mmax	(F6.3)	Uncertainty in mmax	[ucd=stat.error]
#Column	Dm	(F6.3)	? Decline rate (1)	[ucd=src.var.amplitude]
#Column	e_Dm	(F6.3)	? Uncertainty Dm	[ucd=stat.error]
#Column	Epmin	(F5.1)	First epoch covered by data (2)	[ucd=time.epoch]
#Column	Epmax	(F6.1)	Last epoch covered by data (2)	[ucd=time.epoch]
#Column	Np	(I2)	[2/62] Number of data points	[ucd=meta.number]
#Column	Fit	(A6)	Fit method; "Spline" or "Templ." (template fit) see section 2.2 for details.	[ucd=meta.note]
SN	f_SN	Band	Tmax	e_Tmax	mmax	e_mmax	Dm	e_Dm	Epmin	Epmax	Np	Fit
 	 	 	d	d	mag	mag	mag	mag	d	d	 	
------	-	-	-------	-----	------	------	------	------	-----	------	--	------
2004ef	B	B	 264.44	 0.05	17.059	 0.005	 0.721	 0.014	 -8.5	  63.2	44	Spline
2004ef	B	V	 266.07	 0.03	16.900	 0.002	 1.120	 0.008	-10.1	  61.6	48	Spline
2004ef	B	u	 263.01	 0.14	17.791	 0.012	 1.596	 0.068	 -6.2	  56.8	41	Spline
2004ef	B	g	 264.82	 0.06	16.964	 0.003	 1.077	 0.009	 -8.9	  62.8	50	Spline
2004ef	B	r	 266.34	 0.07	16.862	 0.003	 1.625	 0.009	-10.3	  61.3	47	Spline
2004ef	B	i	 261.21	 0.08	17.415	 0.005	 1.199	 0.013	 -5.3	  66.3	47	Spline
2004ef	B	Y	 261.25	 0.03	17.209	 0.034	      	      	  8.8	  69.5	 7	Templ.
2004ef	B	J	 261.63	 0.03	17.230	 0.080	      	      	  8.3	  20.6	 5	Templ.
2004ef	B	K	 262.47	 0.03	17.470	 0.473	      	      	  7.5	  19.8	 6	Templ.
2004eo	B	B	 278.78	 0.20	15.500	 0.008	 0.725	 0.019	-12.0	  61.8	39	Spline
2004eo	B	V	 280.45	 0.11	15.358	 0.013	 1.070	 0.021	-13.7	  60.1	39	Spline
2004eo	B	u	 277.37	 0.12	16.064	 0.015	 1.786	 0.022	-10.7	  43.5	37	Spline
2004eo	B	g	 279.23	 0.17	15.378	 0.014	 1.107	 0.021	-12.5	  61.4	38	Spline
2004eo	B	r	 280.93	 0.27	15.358	 0.009	 1.522	 0.019	-14.2	  59.7	39	Spline
2004eo	B	i	 275.88	 0.17	15.781	 0.010	 1.029	 0.020	 -9.2	  64.7	39	Spline
2004eo	B	Y	 274.78	 0.07	15.923	 0.007	      	      	 -5.1	  31.3	15	Spline
2004eo	B	J	 274.67	 0.02	15.537	 0.006	      	      	 -5.0	  62.9	17	Spline
2004eo	B	H	 274.71	 0.17	15.791	 0.008	      	      	 -5.0	  62.8	18	Spline
2004eo	B	K	 275.66	 0.20	15.592	 0.010	      	      	 -5.9	  30.4	14	Spline
2004ey	B	B	 304.39	 0.10	15.260	 0.005	 0.466	 0.007	 -8.7	  47.4	30	Spline
2004ey	B	V	 305.70	 0.09	15.215	 0.006	 0.892	 0.011	-10.0	  46.1	32	Spline
2004ey	B	u	 303.24	 0.08	15.675	 0.011	 1.277	 0.015	 -7.6	  48.5	25	Spline
2004ey	B	g	 304.73	 0.11	15.214	 0.003	 0.748	 0.005	 -9.1	  47.1	26	Spline
2004ey	B	r	 305.95	 0.13	15.236	 0.004	 1.149	 0.007	-10.3	  45.9	32	Spline
2004ey	B	i	 301.18	 0.07	15.761	 0.003	 0.680	 0.008	 -5.6	  50.6	32	Spline
2004ey	B	Y	 299.81	 0.04	15.785	 0.018	      	      	  1.8	  57.7	12	Templ.
2004ey	B	J	 301.06	 0.04	15.504	 0.050	      	      	 -0.5	  56.4	15	Templ.
2004ey	B	H	 300.63	 0.04	15.743	 0.022	      	      	  1.0	  58.9	16	Templ.
2004ey	B	K	 302.05	 0.04	15.589	 0.046	      	      	 -0.4	  55.4	14	Templ.
2004gc	 	B	 324.57	 0.26	17.467	 0.028	      	      	  5.4	  75.4	27	Templ.
2004gc	 	V	 325.85	 0.26	17.136	 0.024	      	      	  4.1	  74.1	28	Templ.
2004gc	 	g	 325.04	 0.26	17.328	 0.026	      	      	  4.9	  74.9	26	Templ.
2004gc	 	r	 325.78	 0.26	17.039	 0.025	      	      	  4.2	  74.1	28	Templ.
2004gc	 	i	 321.55	 0.26	17.446	 0.026	      	      	  8.5	  78.5	26	Templ.
2004gs	B	B	 356.18	 0.04	17.260	 0.005	 0.854	 0.022	 -3.2	  96.8	51	Spline
2004gs	B	V	 358.64	 0.18	17.072	 0.005	 1.368	 0.025	 -5.7	 100.2	55	Spline
2004gs	B	u	 354.98	 0.12	17.983	 0.018	 1.756	 0.087	 -2.1	  35.7	23	Spline
2004gs	B	g	 356.79	 0.04	17.138	 0.004	 1.294	 0.034	 -3.8	 102.1	51	Spline
2004gs	B	r	 358.19	 0.21	17.046	 0.005	 1.733	 0.018	 -5.2	 100.7	52	Spline
2004gs	B	i	 355.76	 0.05	17.449	 0.007	 1.469	 0.214	 -3.0	 108.7	50	Templ.
2004gs	B	J	 354.61	 0.05	17.323	 0.017	      	      	  8.4	  60.6	19	Templ.
2004gu	B	B	 361.91	 0.17	17.554	 0.022	      	      	 -0.1	  51.3	25	Templ.
2004gu	B	V	 363.26	 0.78	17.380	 0.009	      	      	 -5.2	  45.5	26	Spline
2004gu	B	u	 360.54	 0.17	18.096	 0.038	      	      	  1.4	  35.9	14	Templ.
2004gu	B	g	 362.90	 0.33	17.417	 0.008	      	      	 -4.8	  45.8	26	Spline
2004gu	B	r	 364.77	 0.21	17.340	 0.005	      	      	 -6.6	  44.0	29	Spline
2004gu	B	i	 359.83	 0.17	17.916	 0.013	      	      	 -2.1	  53.5	27	Templ.
2005A 	B	B	 380.17	 0.12	18.262	 0.008	 0.560	 0.030	 -3.5	  29.8	23	Spline
2005A 	B	V	 382.72	 0.71	17.235	 0.007	 0.956	 0.018	 -6.0	  48.9	32	Spline
2005A 	B	u	 378.85	 0.72	19.933	 0.043	      	      	 -2.2	  11.5	10	Spline
2005A 	B	g	 381.92	 0.35	17.830	 0.007	 0.847	 0.026	 -5.2	  49.6	36	Spline
2005A 	B	r	 381.50	 0.17	16.844	 0.007	 1.283	 0.015	 -4.7	  50.1	36	Spline
2005A 	B	i	 376.60	 0.29	17.184	 0.014	      	      	  0.1	  57.0	35	Templ.
2005A 	B	Y	 374.36	 0.29	16.398	 0.026	      	      	 11.4	  60.3	17	Templ.
2005A 	B	J	 375.62	 0.29	16.217	 0.024	      	      	 10.1	  56.0	17	Templ.
2005A 	B	H	 375.09	 0.29	16.404	 0.034	      	      	 10.7	  59.6	16	Templ.
2005M 	B	B	 405.84	 0.07	16.046	 0.004	 0.393	 0.010	 -7.9	  73.1	56	Spline
2005M 	B	V	 407.88	 0.16	16.011	 0.003	 0.838	 0.014	 -9.9	  71.1	58	Spline
2005M 	B	u	 404.46	 0.15	16.359	 0.018	 1.158	 0.026	 -7.5	  52.0	47	Spline
2005M 	B	g	 406.28	 0.08	15.962	 0.004	 0.662	 0.015	 -8.4	  72.6	62	Spline
2005M 	B	r	 408.64	 0.14	16.102	 0.006	 0.994	 0.011	-10.7	  70.3	59	Spline
2005M 	B	i	 402.98	 0.11	16.575	 0.004	 0.688	 0.013	 -5.1	  75.9	59	Spline
2005M 	B	Y	 402.11	 0.14	16.610	 0.014	 0.071	 0.021	 -4.2	  58.3	29	Spline
2005M 	B	J	 402.80	 1.44	16.495	 0.048	 1.650	 0.054	 -4.9	  57.6	32	Spline
2005M 	B	H	 401.92	 1.93	16.717	 0.019	 0.216	 0.024	 -4.1	  59.3	18	Spline
2005M 	B	K	 403.22	 0.02	16.403	 0.036	      	      	 -5.6	  60.7	15	Templ.
2005W 	B	B	 412.08	 0.11	14.649	 0.005	 0.573	 0.024	 -7.5	  17.3	20	Spline
2005W 	B	V	 413.10	 0.36	14.235	 0.009	      	      	 -8.5	  16.3	21	Spline
